state,county
Montana,25
North Dakota,23
Alaska,20
Nebraska,12
South Dakota,8
Wyoming,6
Texas,4
Oregon,3
Utah,3
Minnesota,3
Idaho,3
New Mexico,2
Washington,2
Maine,2
Nevada,2
Colorado,1
Arizona,1
