FID,ADDRESS,CITY,STATE,ZIP,COUNTY,LATITUDE,LONGITUDE
65,450 STANYAN STREET,SAN FRANCISCO,CA,94117,SAN FRANCISCO,37.77408876,-122.45375159999999
66,401 BICENTENNIAL WAY,SANTA ROSA,CA,95403,SONOMA,38.47179301,-122.7270644
67,975 SERENO DRIVE,VALLEJO,CA,94590,SOLANO,38.12690208,-122.2483773
68,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,38.66392502,-121.79214520000001
69,3100 SUMMIT STREET,OAKLAND,CA,94609,ALAMEDA,37.82013961,-122.26400420000002
70,13855 EAST 14TH STREET,SAN LEANDRO,CA,94578,ALAMEDA,37.71228835,-122.1434937
71,27200 CALAROGA AVENUE,HAYWARD,CA,94545,ALAMEDA,37.63344199,-122.0879125
72,2510 NORTH CALIFORNIA STREET,STOCKTON,CA,95204,SAN JOAQUIN,37.9765963,-121.29107090000001
73,1800 NORTH CALIFORNIA STREET,STOCKTON,CA,95204,SAN JOAQUIN,37.97046719,-121.2881828
74,250 SOUTH GRAND AVENUE,GLENDORA,CA,91741,LOS ANGELES,34.13265458,-117.87125970000001
75,1420 SOUTH CENTRAL AVENUE,GLENDALE,CA,91204,LOS ANGELES,34.12816563,-118.2566432
76,4867 SUNSET BOULEVARD,LOS ANGELES,CA,90027,LOS ANGELES,34.09857365,-118.2941753
77,13652 CANTARA STREET,PANORAMA CITY,CA,91402,LOS ANGELES,34.21856419,-118.43021929999999
78,18321 CLARK STREET,TARZANA,CA,91356,LOS ANGELES,34.17039322,-118.53190409999999
79,3160 GENEVA STREET,LOS ANGELES,CA,90020,LOS ANGELES,34.06720478,-118.28639209999999
80,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,CA,90716,LOS ANGELES,33.83364001,-118.079678
81,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,LAKE,38.93561886,-122.62014450000001
82,9300 VALLEY CHILDREN'S PLACE,MADERA,CA,93638,MADERA,36.88404783,-119.80024240000002
83,39-000 BOB HOPE DRIVE,RANCHO MIRAGE,CA,92270,RIVERSIDE,33.76335207,-116.40624109999999
84,2425 SAMARITAN DRIVE,SAN JOSE,CA,95124,SANTA CLARA,37.25207874,-121.94657690000001
85,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,37.33540138,-121.998873
86,725 WELCH ROAD,PALO ALTO,CA,94304,SANTA CLARA,37.43600458,-122.17539
87,1100 VETERANS BOULEVARD,REDWOOD CITY,CA,94063,SAN MATEO,37.48884784,-122.22339009999999
88,2540 EAST STREET,CONCORD,CA,94520,CONTRA COSTA,37.98308958,-122.0334968
89,3901 LONE TREE WAY,ANTIOCH,CA,94509,CONTRA COSTA,37.98223445,-121.8029785
90,2025 MORSE AVENUE,SACRAMENTO,CA,95825,SACRAMENTO,38.60179775,-121.39314399999999
91,155 GLASSON WAY,GRASS VALLEY,CA,95945,NEVADA,39.22801629,-121.0474998
92,7901 WALKER STREET,LA PALMA,CA,90623,ORANGE,33.84751418,-118.0383023
93,654 CAMINO DE LOS MARES,SAN CLEMENTE,CA,92673,ORANGE,33.45706524,-117.65018390000002
94,970 PLUMAS STREET,YUBA CITY,CA,95991,SUTTER,39.14310632,-121.61801200000001
95,1266 EAST CHURCH STREET,JASPER,GA,30143,PICKENS,34.45824868,-84.41291289
96,1230 BAXTER STREET,ATHENS,GA,30606,CLARKE,33.94722132,-83.40525246
97,3995 SOUTH COBB DRIVE SE,SMYRNA,GA,30080,COBB,33.85644329,-84.51105483
98,25 WELLS ST,WESTERLY,RI,2891,WASHINGTON,41.36218908,-71.82530324
99,700 SOUTH PARK ST,MADISON,WI,53715,DANE,43.05933846,-89.40142922
100,1220 DEWEY AVE,WAUWATOSA,WI,53213,MILWAUKEE,43.0467651,-88.00771643
101,13125 N PORT WASHINGTON RD,MEQUON,WI,53097,OZAUKEE,43.25667793,-87.92615796
102,225 MEMORIAL DRIVE,BERLIN,WI,54923,GREEN LAKE,43.97847715,-88.94122636
103,2710 RIFE MEDICAL LANE,ROGERS,AR,72758,BENTON,36.30899285,-94.18297802
104,235 STATE STREET,SAINT CROIX FALLS,WI,54024,POLK,45.40903243,-92.64257812
105,535 HOSPITAL RD,NEW RICHMOND,WI,54017,ST. CROIX,45.11776075,-92.55550038
106,3100 SUPERIOR AVE,SHEBOYGAN,WI,53081,SHEBOYGAN,43.7623479,-87.74753796
107,507 SOUTH MAIN ST,VIROQUA,WI,54665,VERNON,43.55167397,-90.88839128
108,11500 BROOKSHIRE AVENUE,DOWNEY,CA,90241,LOS ANGELES,33.9343518,-118.130904
109,4320 MARICOPA STREET,TORRANCE,CA,90503,LOS ANGELES,33.83934812,-118.3597215
110,11234 ANDERSON STREET,LOMA LINDA,CA,92354,SAN BERNARDINO,34.05013083,-117.26409450000001
111,500 S OAKWOOD RD,OSHKOSH,WI,54904,WINNEBAGO,44.01242072,-88.60104549
112,"3800 RESERVOIR ROAD, NW",WASHINGTON,DC,20007,DISTRICT OF COLUMBIA,38.91195851,-77.07525457
113,13100 FORT KING RD,DADE CITY,FL,33525,PASCO,28.34796286,-82.20072008
114,5352 LINTON BLVD,DELRAY BEACH,FL,33484,PALM BEACH,26.43719284,-80.12778775
115,325 CYPRESS PKWY,KISSIMMEE,FL,34758,OSCEOLA,28.14478076,-81.47668786
116,200 MAY STREET,ATTLEBORO,MA,2703,BRISTOL,41.92408385,-71.36112256
117,227 BABCOCK STREET,BROOKLINE,MA,2146,NORFOLK,42.35077951,-71.12124228
118,1670 ST. VINCENT'S WAY,MIDDLEBURG,FL,32068,CLAY,30.10876243,-81.83268869
119,2275 SW 22ND LANE,OCALA,FL,34471,MARION,29.16587554,-82.16233494
120,189 STORRS RD,MANSFIELD CENTER,CT,6250,TOLLAND,41.74110392,-72.19801148
121,5850 SE COMMUNITY DR,STUART,FL,34997,MARTIN,27.13343729,-80.22245582
122,51 BLOSSOM ST,BOSTON,MA,2114,SUFFOLK,42.36309255,-71.06630188
123,300 1ST AVE,BOSTON,MA,2129,SUFFOLK,42.37850908,-71.04905555
124,49 HILLSIDE STREET,FALL RIVER,MA,2720,BRISTOL,41.70748691,-71.14571447
125,60 GRANITE STREET,LYNN,MA,1904,ESSEX,42.47162011,-70.95676093
126,222 STATE STREET,LUDLOW,MA,1056,HAMPDEN,42.15577594,-72.47207734
127,901 WESTLAKE DRIVE,COLUMBIA,KY,42728,ADAIR,37.09664157,-85.29454565
